,workclass,occupation
0, State-gov, Adm-clerical
1, Self-emp-not-inc, Exec-managerial
2, Private, Handlers-cleaners
3, Private, Handlers-cleaners
4, Private, Prof-specialty
5, Private, Exec-managerial
6, Private, Other-service
7, Self-emp-not-inc, Exec-managerial
8, Private, Prof-specialty
9, Private, Exec-managerial
10, Private, Exec-managerial
11, State-gov, Prof-specialty
12, Private, Adm-clerical
13, Private, Sales
14, Private, Craft-repair
15, Private, Transport-moving
16, Self-emp-not-inc, Farming-fishing
17, Private, Machine-op-inspct
18, Private, Sales
19, Self-emp-not-inc, Exec-managerial
20, Private, Prof-specialty
21, Private, Other-service
22, Federal-gov, Farming-fishing
23, Private, Transport-moving
24, Private, Tech-support
25, Local-gov, Tech-support
26, Private, Craft-repair
27, ?, ?
28, Private, Exec-managerial
29, Private, Craft-repair
30, Local-gov, Protective-serv
31, Private, Sales
32, Private, Exec-managerial
33, Federal-gov, Adm-clerical
34, State-gov, Other-service
35, Private, Machine-op-inspct
36, Private, Machine-op-inspct
37, Private, Adm-clerical
38, Private, Sales
39, Self-emp-not-inc, Prof-specialty
40, Private, Machine-op-inspct
41, Self-emp-not-inc, Prof-specialty
42, Private, Tech-support
43, Private, Adm-clerical
44, Private, Handlers-cleaners
45, Federal-gov, Prof-specialty
46, Private, Machine-op-inspct
47, Private, Exec-managerial
48, State-gov, Craft-repair
49, Private, Prof-specialty
50, Private, Exec-managerial
51, Private, Other-service
52, Private, Prof-specialty
53, Federal-gov, Exec-managerial
54, Self-emp-inc, Exec-managerial
55, Private, Tech-support
56, Private, Machine-op-inspct
57, Private, Other-service
58, Private, Adm-clerical
59, Private, Machine-op-inspct
60, Private, Sales
61, ?, ?
62, Private, Transport-moving
63, Private, Prof-specialty
64, Private, Tech-support
65, Private, Craft-repair
66, Private, Adm-clerical
67, Private, Adm-clerical
68, Self-emp-inc, Exec-managerial
69, ?, ?
70, Private, Prof-specialty
71, Private, Sales
72, Self-emp-not-inc, Sales
73, Private, Machine-op-inspct
74, Private, Prof-specialty
75, Private, Other-service
76, Private, Adm-clerical
77, ?, ?
78, Private, Other-service
79, Local-gov, Farming-fishing
80, Private, Sales
81, Private, Other-service
82, Private, Other-service
83, Private, Sales
84, Private, Craft-repair
85, Private, Sales
86, Local-gov, Protective-serv
87, Private, Prof-specialty
88, Private, Sales
89, Federal-gov, Prof-specialty
90, Private, Prof-specialty
91, Private, Craft-repair
92, Private, Machine-op-inspct
93, Private, Sales
94, Local-gov, Protective-serv
95, Local-gov, Handlers-cleaners
96, Self-emp-not-inc, Prof-specialty
97, Private, Sales
98, Private, Exec-managerial
99, Federal-gov, Other-service
100, Private, Exec-managerial
101, Private, Exec-managerial
102, Self-emp-not-inc, Prof-specialty
103, Private, Tech-support
104, Private, Craft-repair
105, Self-emp-inc, Craft-repair
106, ?, ?
107, Private, Handlers-cleaners
108, Local-gov, Adm-clerical
109, Private, Handlers-cleaners
110, Private, Sales
111, Private, Prof-specialty
112, Self-emp-not-inc, Other-service
113, Private, Sales
114, Private, Machine-op-inspct
115, Private, Handlers-cleaners
116, Self-emp-inc, Sales
117, Local-gov, Craft-repair
118, Private, Sales
119, Private, Craft-repair
120, Private, Other-service
121, Private, Exec-managerial
122, Private, Exec-managerial
123, State-gov, Prof-specialty
124, Private, Other-service
125, Private, Exec-managerial
126, Private, Adm-clerical
127, Private, Adm-clerical
128, ?, ?
129, Private, Craft-repair
130, Private, Sales
131, Private, Other-service
132, Self-emp-not-inc, Craft-repair
133, Private, Sales
134, Private, Tech-support
135, Federal-gov, Prof-specialty
136, Self-emp-not-inc, Craft-repair
137, Private, Adm-clerical
138, Private, Sales
139, Private, Craft-repair
140, Self-emp-inc, Craft-repair
141, Private, Sales
142, Private, Other-service
143, Private, Prof-specialty
144, Private, Tech-support
145, Private, Transport-moving
146, Private, Other-service
147, Private, Other-service
148, Private, Craft-repair
149, ?, ?
150, Local-gov, Adm-clerical
151, Private, Adm-clerical
152, Private, Exec-managerial
153, Private, Craft-repair
154, ?, ?
155, Private, Craft-repair
156, Private, Handlers-cleaners
157, Self-emp-not-inc, Sales
158, Private, Craft-repair
159, Private, Other-service
160, ?, ?
161, Private, Other-service
162, Self-emp-inc, Exec-managerial
163, Private, Exec-managerial
164, Self-emp-not-inc, Sales
165, Private, Other-service
166, Federal-gov, Exec-managerial
167, State-gov, Protective-serv
168, Private, Handlers-cleaners
169, Local-gov, Prof-specialty
170, Private, Other-service
171, State-gov, Protective-serv
172, Private, Sales
173, Private, Craft-repair
174, State-gov, Prof-specialty
175, Private, Sales
176, Private, Craft-repair
177, Private, Handlers-cleaners
178, Private, Other-service
